,Acidobacteria,Actinobacteria,Aquificae,Archaea unclassified,Armatimonadetes,Ascomycota,Bacteria candidate phyla unclassified,Bacteria unclassified,Bacteroidetes,Bacteroidetes/Chlorobi group unclassified,Candidate division CPR1,Candidate division CPR3,Candidate division WWE3,Candidate division Zixibacteria,Candidatus Adlerbacteria,Candidatus Aerophobetes,Candidatus Atribacteria,Candidatus Azambacteria,Candidatus Beckwithbacteria,Candidatus Berkelbacteria,Candidatus Calescamantes,Candidatus Campbellbacteria,Candidatus Dadabacteria,Candidatus Daviesbacteria,Candidatus Falkowbacteria,Candidatus Fervidibacteria,Candidatus Gottesmanbacteria,Candidatus Hydrogenedentes,Candidatus Jorgensenbacteria,Candidatus Kuenenbacteria,Candidatus Levybacteria,Candidatus Magasanikbacteria,Candidatus Microgenomates,Candidatus Moranbacteria,Candidatus Nanohaloarchaeota,Candidatus Nomurabacteria,Candidatus Pacebacteria,Candidatus Parcubacteria,Candidatus Peregrinibacteria,Candidatus Poribacteria,Candidatus Roizmanbacteria,Candidatus Saccharibacteria,Candidatus Uhrbacteria,Candidatus Woesebacteria,Candidatus Wolfebacteria,Chlamydiae,Chloroflexi,Chrysiogenetes,Cloacimonetes,Crenarchaeota,Cyanobacteria,Cyanobacteria/Melainabacteria group unclassified,DPANN group unclassified,Deferribacteres,Deinococcus-Thermus,Dikarya unclassified,Elusimicrobia,Eukaryota unclassified,Euryarchaeota,FCB group unclassified,Fibrobacteres,Firmicutes,Fungi unclassified,Fusobacteria,Gemmatimonadetes,Latescibacteria,Marinimicrobia,Microgenomates group unclassified,Nanoarchaeota,Nitrospinae,Nitrospinae/Tectomicrobia group unclassified,Nitrospirae,Nonspecific/Host,Omnitrophica,Opisthokonta unclassified,PVC group unclassified,Parcubacteria group unclassified,Patescibacteria group unclassified,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,TACK group unclassified,Tenericutes,Terrabacteria group unclassified,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Unclassified Bacteria unclassified,Verrucomicrobia,AlphaDiversity
SRR5318506_90000_1.fastq.gz,2.24916218709e-05,0.00338498909156,0.0,0.0,7.8720676548e-05,0.0,0.00111333528261,0.37004340883,0.00313758125098,0.0,0.0,0.0,2.24916218709e-05,1.12458109354e-05,0.0,3.37374328063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12458109354e-05,0.0,0.00204673759025,0.0,0.0,0.0,0.0,0.000213670407773,0.0,0.0,0.0,0.0,0.0,0.0,0.000258653651515,0.0,0.0,4.49832437417e-05,0.0,1.12458109354e-05,0.000292391084321,7.8720676548e-05,0.000326128517127,0.0,0.000438586626482,0.0,1.12458109354e-05,0.0,0.0,1.12458109354e-05,0.0,0.0,0.0,0.0,0.0,2.24916218709e-05,2.24916218709e-05,0.0778097658622,0.0,0.0162052135579,0.0,0.0,2.24916218709e-05,3.37374328063e-05,0.0,0.0,0.0,0.0,0.00760216819235,0.000168687164031,0.0,0.0,0.000888419063899,0.0,1.12458109354e-05,0.347124446144,0.000112458109354,0.165437124671,0.0,0.0,0.00185555880435,0.0,0.0,0.0,0.000708486088932,0.000382357571805,0.61696028855704987
SRR5318509_90000_1.fastq.gz,3.36454887007e-05,0.00376829473448,0.0,1.12151629002e-05,2.24303258005e-05,0.0,0.000100936466102,0.260931980037,0.00247855100095,1.12151629002e-05,0.0,0.0,0.0,0.0,0.0,1.12151629002e-05,3.36454887007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000852352380418,0.0,0.0,1.12151629002e-05,0.0,6.72909774014e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.85061403017e-05,0.0,0.0,0.000392530701508,0.0,0.0,2.24303258005e-05,7.85061403017e-05,0.000314024561207,0.0,0.000605618796613,1.12151629002e-05,2.24303258005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12151629002e-05,4.4860651601e-05,1.12151629002e-05,0.367677900522,0.0,4.4860651601e-05,1.12151629002e-05,2.24303258005e-05,3.36454887007e-05,3.36454887007e-05,0.0,1.12151629002e-05,0.0,1.12151629002e-05,0.00992541916671,4.4860651601e-05,0.0,0.0,0.000179442606404,0.0,5.60758145012e-05,0.339348399035,0.000134581954803,4.4860651601e-05,0.0,2.24303258005e-05,0.0109684293164,0.0,0.0,0.0,0.000818706891718,0.000684124936915,0.42765545891714724
SRR5318515_90000_1.fastq.gz,0.0,0.00197414648836,0.0,0.0,0.0,0.0,0.000133840439889,0.213263587593,0.0182134531949,0.0,0.0,0.0,0.000100380329917,0.0,0.0,0.0,1.11533699907e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11533699907e-05,0.0,4.4613479963e-05,0.0,0.0,0.0,0.0,1.11533699907e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.92269599259e-05,0.0,0.0,0.0,2.23067399815e-05,0.0,0.0,4.4613479963e-05,0.000245374139796,0.0,2.23067399815e-05,1.11533699907e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.11533699907e-05,0.0,0.000167300549861,0.0,0.0,0.525145272644,0.0,0.0,0.0,2.23067399815e-05,2.23067399815e-05,1.11533699907e-05,0.0,0.0,0.0,1.11533699907e-05,0.00101495666916,2.23067399815e-05,0.0,0.0,1.11533699907e-05,0.0,0.0,0.236094535964,0.00195183974838,0.0,0.0,0.0,0.00119341058901,0.0,0.0,0.0,3.34601099722e-05,8.92269599259e-05,0.2999572890842046
SRR5318521_90000_1.fastq.gz,0.0,0.00121119185723,0.0,7.77829633087e-05,1.11118519012e-05,0.0,2.22237038025e-05,0.716058848368,0.00532257706069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33355557037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000200013334222,0.0,0.0,4.4447407605e-05,0.0,0.0,0.0,0.000155565926617,0.0,0.0,6.66711114074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166677778519,0.0,0.0,0.10736271307,0.0,0.0,0.0,0.0,2.22237038025e-05,0.0,0.0,0.0,0.0,1.11118519012e-05,0.00026668444563,0.0,0.0,0.0,0.0,1.11118519012e-05,3.33355557037e-05,0.16627775185,0.000466697779852,0.0,0.0,7.77829633087e-05,0.00173344889659,0.0,0.0,0.0,0.000288908149432,7.77829633087e-05,0.0
SRR5318525_90000_1.fastq.gz,0.0,0.0026003467129,0.0,2.22251855803e-05,0.0,0.0,3.33377783704e-05,0.457394319243,0.0209583500022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11125927901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000211139263013,0.0,0.0,3.33377783704e-05,0.0,0.0,0.0,6.66755567409e-05,1.11125927901e-05,0.0,0.000200026670223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11125927901e-05,0.0,0.0,0.285282482109,0.0,0.000200026670223,0.0,2.22251855803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00077788149531,1.11125927901e-05,0.0,0.0,3.33377783704e-05,0.0,3.33377783704e-05,0.227852602569,0.00117793483576,0.0,0.0,1.11125927901e-05,0.0012446103925,0.0,0.0,0.0,0.00166688891852,0.000133351113482,0.36128959873776412
SRR5318529_90000_1.fastq.gz,0.0,0.00287828947368,0.0,6.66785206259e-05,2.2226173542e-05,0.0,2.2226173542e-05,0.622610686344,0.0174364331437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1113086771e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44523470839e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166696301565,0.0,0.0,1.1113086771e-05,0.0,0.0,0.0,0.000255600995733,1.1113086771e-05,0.0,5.55654338549e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000211148648649,0.0,0.0,0.146837215505,0.0,0.000155583214794,0.0,1.1113086771e-05,1.1113086771e-05,0.0,0.0,0.0,0.0,0.0,0.000300053342817,1.1113086771e-05,0.0,0.0,0.0,7.77916073969e-05,0.000211148648649,0.20450302276,0.00133357041252,0.0,0.0,0.0,0.00164473684211,0.0,0.0,0.0,0.00106685633001,3.33392603129e-05,0.19506895665086757
SRR5318534_90000_1.fastq.gz,0.0,0.00112805048305,0.0,0.0,0.0,1.11688166639e-05,0.000122856983303,0.323326073603,0.0129334896968,0.0,0.0,0.0,3.35064499916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11688166639e-05,0.0,0.0,0.0,0.0,0.0,0.000156363433294,0.0,0.0,0.0,0.0,1.11688166639e-05,0.0,0.0,0.0,0.0,0.0,1.11688166639e-05,3.35064499916e-05,0.0,0.0,1.11688166639e-05,0.0,0.0,0.0,7.81817166471e-05,1.11688166639e-05,0.0,0.000100519349975,0.0,0.00014519461663,0.0,0.0,0.0,1.11688166639e-05,0.0,0.0,0.0,8.9350533311e-05,0.0,0.0,0.0752889931312,0.0,0.00283687943262,0.0,3.35064499916e-05,2.23376333277e-05,0.0,0.0,0.0,0.0,0.0,0.000848830066454,2.23376333277e-05,0.0,0.0,1.11688166639e-05,0.0,0.0,0.580220025688,0.000982855866421,0.0,0.0,0.0,0.00129558273301,0.0,0.0,0.0,1.11688166639e-05,0.00020103869995,0.15157942814077446
SRR5318536_90000_1.fastq.gz,1.11165458669e-05,0.00424652052114,0.0,0.000188981279737,0.0,0.0,0.000122282004536,0.111621237049,0.416125661434,0.0,0.0,0.0,0.0,1.11165458669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33496376006e-05,0.0,0.0,0.0,0.0,1.11165458669e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.22330917337e-05,0.0,0.0,0.000100048912802,7.78158210681e-05,0.0,0.0,1.11165458669e-05,0.000133398550402,0.0,0.000111165458669,0.0,0.0,0.0,0.0,0.0,1.11165458669e-05,0.0,0.0,0.0,0.000144515096269,0.0,0.0,0.351193917026,0.0,3.33496376006e-05,0.0,4.44661834675e-05,6.66992752012e-05,1.11165458669e-05,0.0,0.0,0.0,0.0,0.0336386677931,4.44661834675e-05,0.0,0.0,0.000100048912802,0.0,0.000466894926408,0.064042420739,0.0034572457646,0.0,0.0,0.0,0.00313486593446,0.0,0.0,0.0,0.000933789852817,0.00984925963805,0.57271891661490282
SRR5318537_90000_1.fastq.gz,0.000300140065364,0.00451321727917,0.0,0.0,1.11162987172e-05,0.0,2.22325974344e-05,0.521554503213,0.0349162942707,1.11162987172e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.11162987172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22325974344e-05,0.0,0.0,0.0,0.0,1.11162987172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000155628182041,0.0,0.0,0.000322372662798,0.0,0.0,2.22325974344e-05,8.89303897374e-05,0.00051134974099,0.0,0.000266791169212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000200093376909,0.0,0.0,0.265390515574,0.0,0.000133395584606,1.11162987172e-05,3.33488961515e-05,4.44651948687e-05,0.0,0.0,0.0,0.0,0.0,0.00133395584606,3.33488961515e-05,0.0,0.0,3.33488961515e-05,0.0,3.33488961515e-05,0.159930189644,0.00404633273305,0.0,0.0,0.0,0.00392405344716,0.0,0.0,0.0,0.00178972409347,0.000322372662798,0.38325753008498292
SRR5318539_90000_1.fastq.gz,0.0,0.00486732611085,4.48601484871e-05,0.0,0.0,0.0,0.000134580445461,0.133795392863,0.223796065765,1.12150371218e-05,0.0,0.0,1.12150371218e-05,1.12150371218e-05,0.0,0.0,0.0,0.0,1.12150371218e-05,0.0,0.0,0.0,0.0,0.0,1.12150371218e-05,0.0,7.85052598524e-05,0.0,0.0,0.0,3.36451113653e-05,1.12150371218e-05,0.0,2.24300742435e-05,0.0,0.0,0.0,0.0,4.48601484871e-05,2.24300742435e-05,0.0,0.0,1.12150371218e-05,0.0,0.0,1.12150371218e-05,8.97202969742e-05,0.0,0.000157010519705,0.0,2.24300742435e-05,0.0,0.0,1.12150371218e-05,0.0,0.0,0.0,0.0,0.000100935334096,0.0,1.12150371218e-05,0.592120314918,0.0,6.72902227306e-05,0.0,2.24300742435e-05,0.00038131126214,0.0,0.0,0.0,0.0,0.0,0.0170132113137,0.000437386447749,0.0,0.0,6.72902227306e-05,0.0,2.24300742435e-05,0.0214431509768,0.000302806002288,0.0,0.0,0.000100935334096,0.00273646905771,0.0,0.0,0.0,0.000863557858377,0.00109907363793,0.31018243230654141
